,id,publishTime,duration_seconds,viewCount,likeCount,contrast,hue,saturation,brightness
21,Y2T_rIZ4Pho,2018-12-11 08:00:04+00:00,173,1527258267,3487142,56.789,151,126,0
22,MR5XSOdjKMA,2018-06-25 07:00:03+00:00,165,2993666649,7461172,68.422,110,81,0
23,v1rBxf4VgaA,2018-04-03 07:00:08+00:00,181,873174521,2640298,57.176,174,106,0
24,JObsBVhpYk0,2020-03-31 07:00:05+00:00,182,89530369,337541,54.606,140,99,0
25,BG7oqAQsv-k,2018-03-28 07:00:00+00:00,251,462895817,712885,64.136,116,101,0
26,kCka94jeGTk,2017-10-10 07:00:02+00:00,153,231225191,610010,47.587,147,119,0
27,wTNJZEcHdPw,2018-05-31 07:00:06+00:00,177,580576210,1500857,63.198,93,168,0
28,aTrtKikAW6E,2018-03-20 07:00:00+00:00,185,277387364,513980,55.044,165,128,0
29,jbBbRjs_niM,2018-12-18 08:00:08+00:00,172,380190204,624087,50.725,109,136,0
30,WF8iaqRqI60,2018-07-13 07:00:03+00:00,239,958412586,3138389,57.373,218,112,0
31,P10p7ALXkcU,2019-12-10 08:00:06+00:00,201,305457657,961052,55.674,176,143,0
32,3YltYCrPZos,2019-04-09 07:00:00+00:00,231,1191082028,3167785,59.63,156,93,0
33,4U1nR0MfxJc,2019-05-28 07:00:00+00:00,234,115696542,237628,64.046,109,123,0
34,zQCGxthVskw,2017-10-18 07:00:09+00:00,145,386927238,1448940,55.741,183,116,0
35,4IncKbbQRh4,2021-11-23 09:00:03+00:00,186,14140987,105008,63.17,206,100,0
36,qYNHPInzqko,2019-10-15 07:00:05+00:00,194,60000033,213028,60.887,136,105,0
37,aY_JqmBlsCE,2018-02-06 08:00:01+00:00,215,484687819,1235864,60.179,165,124,0
38,2dkIxnzG-V0,2021-08-12 07:30:00+00:00,175,17014143,70303,46.541,148,129,0
39,q8ZlZBWnUmY,2020-07-14 07:00:09+00:00,192,106145689,435500,49.932,219,121,0
40,bfnl9d6rEX8,2021-08-17 07:11:16+00:00,166,24931929,110150,55.067,128,135,0
41,KTOwPz-zMWY,2018-10-23 07:00:02+00:00,247,1665890738,3578636,56.912,119,137,0
42,x7zntXB5V2A,2021-08-31 07:00:13+00:00,183,11684479,48948,54.607,186,124,0
43,3gt_G1BjTD4,2018-08-03 07:00:02+00:00,195,386107477,1152693,60.991,129,110,0
44,HJkAI-Dhq50,2018-09-18 07:00:04+00:00,244,1306073887,3477625,63.113,147,117,0
45,Mt_CIBlEGos,2019-07-02 07:00:01+00:00,191,139364753,210843,64.134,123,127,0
46,95EFNsXgRhQ,2018-05-16 07:00:01+00:00,241,715555746,1133018,61.804,128,121,0
47,1ypyksuijLs,2020-05-05 07:00:00+00:00,213,202363334,784998,53.311,150,103,0
48,oXAXvEmLWOk,2017-08-02 07:00:30+00:00,350,330930430,1182252,66.205,132,135,0
