Regiões,Especie,2010_hec_k,2010_%,2015_hec_k,2015_%
VISEU DÃO LAFÕES,Castanheiro,0.45,0.3314917127071823,0.65,0.5
VISEU DÃO LAFÕES,Alfarrobeira,0.0,0.0,0.0,0.0
VISEU DÃO LAFÕES,Acácias,0.65,0.4788213627992634,1.23,0.9
VISEU DÃO LAFÕES,Outras folhosas,12.11,8.920810313075506,14.38,10.4
VISEU DÃO LAFÕES,Outras resinosas,3.78,2.7845303867403315,2.1,1.5
VISEU DÃO LAFÕES,STD s/espécie*,0.48,0.35359116022099446,0.63,0.5
VISEU DÃO LAFÕES,total,135.74,99.9926335174954,138.88,100.0
ÁREA METROPOLITANA DE LISBOA,Pinheiro0bravo,12.97,20.25929397063418,13.54,20.4
ÁREA METROPOLITANA DE LISBOA,Eucaliptos,12.92,20.18119337706967,12.52,18.9
ÁREA METROPOLITANA DE LISBOA,Sobreiro,16.58,25.898156825991876,18.21,27.5
ÁREA METROPOLITANA DE LISBOA,Azinheira,1.03,1.6088722274289284,1.1,1.7
ÁREA METROPOLITANA DE LISBOA,Carvalhos,0.03,0.046860356138706656,0.03,0.0
ÁREA METROPOLITANA DE LISBOA,Pinheiro0manso,12.66,19.77507029053421,13.69,20.7
ÁREA METROPOLITANA DE LISBOA,Castanheiro,0.0,0.0,0.0,0.0
ÁREA METROPOLITANA DE LISBOA,Alfarrobeira,0.0,0.0,0.0,0.0
ÁREA METROPOLITANA DE LISBOA,Acácias,0.0,0.0,0.0,0.0
ÁREA METROPOLITANA DE LISBOA,Outras folhosas,5.0,7.81005935645111,5.08,7.7
ÁREA METROPOLITANA DE LISBOA,Outras resinosas,2.8,4.373633239612621,1.95,2.9
ÁREA METROPOLITANA DE LISBOA,STD s/espécie*,0.03,0.046860356138706656,0.15,0.2
ÁREA METROPOLITANA DE LISBOA,total,64.01,99.98437988128711,66.26,100.0
ALENTEJO CENTRAL,Pinheiro0bravo,1.5,0.4402441887767083,0.97,0.3
ALENTEJO CENTRAL,Eucaliptos,24.63,7.228809579713549,21.78,6.4
ALENTEJO CENTRAL,Sobreiro,176.72,51.86663536041326,179.85,53.1
ALENTEJO CENTRAL,Azinheira,118.77,34.858534867339756,116.89,34.5
ALENTEJO CENTRAL,Carvalhos,0.03,0.008804883775534164,0.03,0.0
ALENTEJO CENTRAL,Pinheiro0manso,16.46,4.830946231509746,16.73,4.9
ALENTEJO CENTRAL,Castanheiro,0.0,0.0,0.0,0.0
ALENTEJO CENTRAL,Alfarrobeira,0.03,0.008804883775534164,0.0,0.0
ALENTEJO CENTRAL,Acácias,0.0,0.0,0.0,0.0
ALENTEJO CENTRAL,Outras folhosas,2.5,0.7337403146278472,2.25,0.7
ALENTEJO CENTRAL,Outras resinosas,0.03,0.008804883775534164,0.0,0.0
ALENTEJO CENTRAL,STD s/espécie*,0.05,0.014674806292556943,0.03,0.0
ALENTEJO CENTRAL,total,340.71,99.99706503874151,338.53,100.0
ALENTEJO LITORAL,Pinheiro0bravo,33.09,11.148921832884103,29.66,10.2
ALENTEJO LITORAL,Eucaliptos,56.72,19.110512129380062,53.92,18.5
ALENTEJO LITORAL,Sobreiro,148.76,50.1212938005391,148.99,51.2
ALENTEJO LITORAL,Azinheira,11.92,4.016172506738546,11.22,3.9
ALENTEJO LITORAL,Carvalhos,0.07,0.02358490566037737,0.07,0.0
ALENTEJO LITORAL,Pinheiro0manso,41.42,13.955525606469008,42.3,14.5
ALENTEJO LITORAL,Castanheiro,0.0,0.0,0.0,0.0
ALENTEJO LITORAL,Alfarrobeira,0.0,0.0,0.0,0.0
ALENTEJO LITORAL,Acácias,0.03,0.0101078167115903,0.03,0.0
ALENTEJO LITORAL,Outras folhosas,4.59,1.5464959568733159,4.82,1.7
ALENTEJO LITORAL,Outras resinosas,0.05,0.016846361185983833,0.07,0.0
ALENTEJO LITORAL,STD s/espécie*,0.15,0.050539083557951496,0.08,0.0
ALENTEJO LITORAL,total,296.81,100.00336927223724,291.16,100.0
ALTO ALENTEJO,Pinheiro0bravo,12.33,4.670808394575347,11.72,4.6
ALTO ALENTEJO,Eucaliptos,46.12,17.47102053185847,43.59,17.1
ALTO ALENTEJO,Sobreiro,118.7,44.96552769149178,113.92,44.6
ALTO ALENTEJO,Azinheira,71.75,27.18008940071217,68.95,27.0
ALTO ALENTEJO,Carvalhos,3.85,1.4584438215016289,3.87,1.5
ALTO ALENTEJO,Pinheiro0manso,7.87,2.9812864610955376,9.07,3.6
ALTO ALENTEJO,Castanheiro,0.35,0.13258580195469352,0.17,0.1
ALTO ALENTEJO,Alfarrobeira,0.0,0.0,0.0,0.0
ALTO ALENTEJO,Acácias,0.03,0.011364497310402302,0.03,0.0
ALTO ALENTEJO,Outras folhosas,2.55,0.9659822713841957,3.83,1.5
ALTO ALENTEJO,Outras resinosas,0.23,0.08712781271308433,0.17,0.1
ALTO ALENTEJO,STD s/espécie*,0.2,0.07576331540268202,0.05,0.0
ALTO ALENTEJO,total,263.97,99.99621183422987,255.37,100.0
BAIXO ALENTEJO,Pinheiro0bravo,0.75,0.3122008075594222,0.75,0.3
BAIXO ALENTEJO,Eucaliptos,12.6,5.244973566998293,12.3,5.0
BAIXO ALENTEJO,Sobreiro,70.58,29.380177330058693,73.24,29.9
BAIXO ALENTEJO,Azinheira,116.79,48.615909753153225,118.51,48.4
BAIXO ALENTEJO,Carvalhos,0.0,0.0,0.0,0.0
BAIXO ALENTEJO,Pinheiro0manso,37.62,15.659992507180617,38.02,15.5
BAIXO ALENTEJO,Castanheiro,0.0,0.0,0.0,0.0
BAIXO ALENTEJO,Alfarrobeira,0.37,0.15401906506264829,0.38,0.2
BAIXO ALENTEJO,Acácias,0.0,0.0,0.0,0.0
BAIXO ALENTEJO,Outras folhosas,1.42,0.5911001956458394,1.45,0.6
BAIXO ALENTEJO,Outras resinosas,0.05,0.020813387170628146,0.03,0.0
BAIXO ALENTEJO,STD s/espécie*,0.05,0.020813387170628146,0.0,0.0
BAIXO ALENTEJO,total,240.24,100.00416267743412,244.67,100.0
LEZÍRIA DO TEJO,Pinheiro0bravo,12.83,6.150232491251618,12.0,5.9
LEZÍRIA DO TEJO,Eucaliptos,69.51,33.32055030918939,68.01,33.2
LEZÍRIA DO TEJO,Sobreiro,100.36,48.108911365706334,93.36,45.6
LEZÍRIA DO TEJO,Azinheira,1.9,0.9107904702555005,1.98,1.0
LEZÍRIA DO TEJO,Carvalhos,0.05,0.023968170269881597,0.05,0.0
LEZÍRIA DO TEJO,Pinheiro0manso,20.58,9.865298883083264,25.33,12.4
LEZÍRIA DO TEJO,Castanheiro,0.0,0.0,0.0,0.0
LEZÍRIA DO TEJO,Alfarrobeira,0.0,0.0,0.0,0.0
LEZÍRIA DO TEJO,Acácias,0.03,0.014380902161928956,0.05,0.0
LEZÍRIA DO TEJO,Outras folhosas,3.2,1.5339628972724222,3.9,1.9
LEZÍRIA DO TEJO,Outras resinosas,0.02,0.00958726810795264,0.03,0.0
LEZÍRIA DO TEJO,STD s/espécie*,0.13,0.062317242701692144,0.15,0.1
LEZÍRIA DO TEJO,total,208.6,99.995206365946,204.85,100.0
